PROI,SEXO,MESPAR,ANOPAR,count
11,1,11,2021,397
11,1,12,2021,403
11,6,1,2021,307
11,6,2,2021,298
11,6,3,2021,358
11,6,4,2021,343
11,6,5,2021,328
11,6,6,2021,322
11,6,7,2021,408
11,6,8,2021,400
11,6,9,2021,415
11,6,10,2021,365
11,6,11,2021,364
11,6,12,2021,351
12,1,1,2021,153
12,1,2,2021,170
12,1,3,2021,176
12,1,4,2021,169
12,1,5,2021,164
12,1,6,2021,167
12,1,7,2021,188
12,1,8,2021,204
12,1,9,2021,173
12,1,10,2021,168
12,1,11,2021,173
12,1,12,2021,180
12,6,1,2021,120
12,6,2,2021,169
12,6,3,2021,173
12,6,4,2021,156
12,6,5,2021,156
12,6,6,2021,154
12,6,7,2021,169
12,6,8,2021,172
12,6,9,2021,180
12,6,10,2021,161
12,6,11,2021,176
12,6,12,2021,198
13,1,1,2021,95
13,1,2,2021,124
13,1,3,2021,153
13,1,4,2021,147
13,1,5,2021,153
13,1,6,2021,157
13,1,7,2021,156
13,1,8,2021,174
13,1,9,2021,187
13,1,10,2021,153
13,1,11,2021,150
13,1,12,2021,149
13,6,1,2021,137
13,6,2,2021,108
13,6,3,2021,142
13,6,4,2021,144
13,6,5,2021,132
13,6,6,2021,128
13,6,7,2021,161
13,6,8,2021,166
13,6,9,2021,154
13,6,10,2021,146
13,6,11,2021,137
13,6,12,2021,157
14,1,1,2021,223
14,1,2,2021,192
14,1,3,2021,277
14,1,4,2021,242
14,1,5,2021,243
14,1,6,2021,264
14,1,7,2021,254
14,1,8,2021,262
14,1,9,2021,246
14,1,10,2021,265
14,1,11,2021,223
14,1,12,2021,261
14,6,1,2021,227
14,6,2,2021,204
14,6,3,2021,254
14,6,4,2021,227
14,6,5,2021,252
14,6,6,2021,231
14,6,7,2021,261
14,6,8,2021,240
14,6,9,2021,245
14,6,10,2021,266
14,6,11,2021,270
14,6,12,2021,254
15,1,1,2021,232
15,1,2,2021,224
15,1,3,2021,306
15,1,4,2021,288
15,1,5,2021,260
15,1,6,2021,261
15,1,7,2021,300
15,1,8,2021,299
15,1,9,2021,309
15,1,10,2021,285
15,1,11,2021,246
15,1,12,2021,286
15,6,1,2021,232
15,6,2,2021,221
15,6,3,2021,252
15,6,4,2021,275
15,6,5,2021,281
15,6,6,2021,225
15,6,7,2021,263
15,6,8,2021,285
15,6,9,2021,309
15,6,10,2021,286
15,6,11,2021,237
15,6,12,2021,244
16,1,1,2021,39
16,1,2,2021,39
16,1,3,2021,58
16,1,4,2021,55
16,1,5,2021,66
16,1,6,2021,55
16,1,7,2021,75
16,1,8,2021,49
16,1,9,2021,71
16,1,10,2021,54
16,1,11,2021,60
16,1,12,2021,43
16,6,1,2021,52
16,6,2,2021,36
16,6,3,2021,44
16,6,4,2021,57
16,6,5,2021,49
16,6,6,2021,50
16,6,7,2021,53
16,6,8,2021,59
16,6,9,2021,52
16,6,10,2021,42
16,6,11,2021,40
16,6,12,2021,48
17,1,1,2021,212
17,1,2,2021,220
17,1,3,2021,240
17,1,4,2021,240
17,1,5,2021,235
17,1,6,2021,246
17,1,7,2021,278
17,1,8,2021,307
17,1,9,2021,290
17,1,10,2021,295
17,1,11,2021,266
17,1,12,2021,249
17,6,1,2021,192
17,6,2,2021,233
17,6,3,2021,247
17,6,4,2021,249
17,6,5,2021,250
17,6,6,2021,264
17,6,7,2021,261
17,6,8,2021,267
17,6,9,2021,215
17,6,10,2021,266
17,6,11,2021,266
17,6,12,2021,247
18,1,1,2021,267
18,1,2,2021,266
18,1,3,2021,333
18,1,4,2021,292
18,1,5,2021,284
18,1,6,2021,298
18,1,7,2021,297
18,1,8,2021,306
18,1,9,2021,316
18,1,10,2021,356
18,1,11,2021,293
18,1,12,2021,304
18,6,1,2021,273
18,6,2,2021,298
18,6,3,2021,300
18,6,4,2021,291
18,6,5,2021,302
18,6,6,2021,254
18,6,7,2021,318
18,6,8,2021,281
18,6,9,2021,293
18,6,10,2021,323
18,6,11,2021,307
18,6,12,2021,302
19,1,1,2021,48
19,1,2,2021,55
19,1,3,2021,70
19,1,4,2021,58
19,1,5,2021,95
19,1,6,2021,66
19,1,7,2021,75
19,1,8,2021,65
19,1,9,2021,70
19,1,10,2021,65
19,1,11,2021,71
19,1,12,2021,83
19,6,1,2021,46
19,6,2,2021,57
19,6,3,2021,83
19,6,4,2021,49
19,6,5,2021,44
19,6,6,2021,69
19,6,7,2021,76
19,6,8,2021,69
19,6,9,2021,57
19,6,10,2021,71
19,6,11,2021,66
19,6,12,2021,62
20,1,1,2021,208
20,1,2,2021,189
20,1,3,2021,223
20,1,4,2021,203
20,1,5,2021,200
20,1,6,2021,188
20,1,7,2021,230
20,1,8,2021,216
20,1,9,2021,227
20,1,10,2021,253
20,1,11,2021,227
20,1,12,2021,205
20,6,1,2021,153
20,6,2,2021,195
20,6,3,2021,189
20,6,4,2021,207
20,6,5,2021,217
20,6,6,2021,213
20,6,7,2021,241
20,6,8,2021,231
20,6,9,2021,189
20,6,10,2021,214
20,6,11,2021,182
20,6,12,2021,178
21,1,1,2021,162
21,1,2,2021,156
21,1,3,2021,227
21,1,4,2021,206
21,1,5,2021,169
21,1,6,2021,185
21,1,7,2021,187
21,1,8,2021,183
21,1,9,2021,210
21,1,10,2021,187
21,1,11,2021,180
21,1,12,2021,173
21,6,1,2021,155
21,6,2,2021,143
21,6,3,2021,163
21,6,4,2021,153
21,6,5,2021,186
21,6,6,2021,160
21,6,7,2021,193
21,6,8,2021,172
21,6,9,2021,175
21,6,10,2021,198
21,6,11,2021,155
21,6,12,2021,188
22,1,1,2021,63
22,1,2,2021,78
22,1,3,2021,60
22,1,4,2021,70
22,1,5,2021,69
22,1,6,2021,56
22,1,7,2021,74
22,1,8,2021,73
22,1,9,2021,54
22,1,10,2021,72
22,1,11,2021,56
22,1,12,2021,66
22,6,1,2021,60
22,6,2,2021,55
22,6,3,2021,62
22,6,4,2021,68
22,6,5,2021,59
22,6,6,2021,54
22,6,7,2021,69
22,6,8,2021,61
22,6,9,2021,58
22,6,10,2021,53
22,6,11,2021,55
22,6,12,2021,62
23,1,1,2021,178
23,1,2,2021,178
23,1,3,2021,188
23,1,4,2021,189
23,1,5,2021,171
23,1,6,2021,190
23,1,7,2021,204
23,1,8,2021,198
23,1,9,2021,215
23,1,10,2021,198
23,1,11,2021,194
23,1,12,2021,183
23,6,1,2021,159
23,6,2,2021,163
23,6,3,2021,200
23,6,4,2021,179
23,6,5,2021,165
23,6,6,2021,164
23,6,7,2021,198
23,6,8,2021,186
23,6,9,2021,196
23,6,10,2021,182
23,6,11,2021,177
23,6,12,2021,199
24,1,1,2021,73
24,1,2,2021,99
24,1,3,2021,106
24,1,4,2021,123
24,1,5,2021,98
24,1,6,2021,99
24,1,7,2021,99
24,1,8,2021,97
24,1,9,2021,89
24,1,10,2021,104
24,1,11,2021,83
24,1,12,2021,111
24,6,1,2021,73
24,6,2,2021,87
24,6,3,2021,108
24,6,4,2021,84
24,6,5,2021,110
24,6,6,2021,92
24,6,7,2021,108
24,6,8,2021,84
24,6,9,2021,100
24,6,10,2021,97
24,6,11,2021,95
24,6,12,2021,93
25,1,1,2021,107
25,1,2,2021,126
25,1,3,2021,114
25,1,4,2021,149
25,1,5,2021,153
25,1,6,2021,124
25,1,7,2021,181
25,1,8,2021,132
25,1,9,2021,139
25,1,10,2021,158
25,1,11,2021,142
25,1,12,2021,141
25,6,1,2021,105
25,6,2,2021,107
25,6,3,2021,134
25,6,4,2021,106
25,6,5,2021,134
25,6,6,2021,120
25,6,7,2021,147
25,6,8,2021,135
25,6,9,2021,130
25,6,10,2021,138
25,6,11,2021,155
25,6,12,2021,126
26,1,1,2021,90
26,1,2,2021,89
26,1,3,2021,89
26,1,4,2021,86
26,1,5,2021,93
26,1,6,2021,94
26,1,7,2021,97
26,1,8,2021,102
26,1,9,2021,86
26,1,10,2021,109
26,1,11,2021,104
26,1,12,2021,89
26,6,1,2021,89
26,6,2,2021,70
